index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2015-01-01,VIC,4,2014,,,11.1,,0.167,0.038,11.0,293.0,34.0,1.8,835.0,3562.0,,,,,,0.15,,,0.3,1.6,1.0,-0.128,7100.0,0.373,0.19,0.057,1.6,0.4,3.6,0.0,6.7,11885.0,0.373,0.111,271.0,31.9,-0.636,0.3,1.7,0.19,0.5,,,,,,,,,3.1,,-0.043,0.418,,2015-01-01
2014-10-01,VIC,3,2014,,,10.7,,0.209,0.051,13.0,307.0,40.0,2.7,958.0,2511.0,,,,,,0.115,,,0.3,2.0,1.2,-0.213,7421.0,0.369,0.281,0.116,1.7,0.4,2.9,0.1,8.7,17875.0,0.283,0.077,280.0,27.6,-0.696,0.4,1.8,0.281,0.7,,,,,,,,,3.0,,-0.305,-0.132,,2014-10-01
2014-07-01,VIC,2,2014,,,8.5,,0.288,0.065,17.0,350.0,41.0,3.2,1217.0,2893.0,,,,,,0.131,,,0.3,1.7,1.1,-0.388,10680.0,0.376,0.306,0.112,1.9,0.4,2.6,0.2,7.6,17646.0,0.383,0.109,325.0,21.8,-0.905,0.4,1.9,0.306,0.7,,,,,,,,,3.4,,0.268,0.106,,2014-07-01
2014-04-01,VIC,1,2014,,,10.2,,0.573,0.11,15.0,455.0,44.0,3.6,1988.0,2616.0,,,,,,0.127,,,0.3,1.7,1.0,0.116,8421.0,0.39,0.299,0.174,2.0,0.4,3.5,0.1,7.9,16501.0,0.523,0.138,426.0,23.7,-0.796,0.3,1.4,0.299,0.8,,,,,,,,,3.7,,0.099,-0.407,,2014-04-01
2014-01-01,VIC,4,2013,,,12.4,,0.479,0.104,21.0,533.0,49.0,3.2,1781.0,4413.0,,,,,,0.224,,,0.3,1.7,1.0,0.098,7660.0,0.317,0.224,0.121,1.5,0.4,3.9,0.1,4.5,15709.0,0.424,0.117,505.0,17.2,-0.846,0.3,1.7,0.224,0.9,,,,,,,,,3.2,,0.091,0.043,,2014-01-01
2013-10-01,VIC,3,2013,,,13.0,,0.471,0.11,16.0,668.0,56.0,13.0,1622.0,4229.0,,,,,,0.261,,,0.4,1.1,0.5,0.405,7020.0,0.394,0.347,0.221,1.2,0.3,3.5,0.1,3.8,2972.0,0.382,0.109,628.0,23.3,-0.411,0.3,1.5,0.347,1.0,,,,,,,,,2.7,,1.251,0.131,,2013-10-01
2013-07-01,VIC,2,2013,,,30.9,,0.361,0.084,42.0,1413.0,32.0,1.3,1155.0,3738.0,,,,,,0.243,,,0.3,1.2,0.4,2.837,3118.0,0.447,0.227,1.767,1.3,0.3,7.2,0.1,4.1,5699.0,0.163,0.04,1423.0,8.8,-0.304,0.1,1.3,0.227,10.4,,,,,,,,,3.0,,-0.144,0.402,,2013-07-01
2013-04-01,VIC,1,2013,,,28.7,,0.116,0.022,64.0,1371.0,31.0,0.5,301.0,2665.0,,,,,,0.172,,,0.2,1.1,0.4,-0.271,3641.0,0.533,0.195,0.292,2.1,0.4,6.7,0.4,5.8,1759.0,0.385,0.073,1404.0,5.7,-0.064,0.1,1.5,0.195,2.3,,,,,,,,,4.4,,-0.437,-0.009,,2013-04-01
2013-01-01,VIC,4,2012,,,22.1,,0.184,0.035,34.0,1126.0,29.0,2.3,412.0,2690.0,,,,,,0.183,,,0.2,1.1,0.4,-0.017,6461.0,0.375,0.235,0.077,2.1,0.4,4.5,0.2,5.5,2750.0,0.153,0.026,1131.0,10.6,-0.072,0.2,2.5,0.235,0.8,,,,,,,,,4.3,,0.467,0.018,,2013-01-01
2012-10-01,VIC,3,2012,,,28.7,,0.199,0.038,41.0,1415.0,42.0,0.8,419.0,2642.0,,,,,,0.197,,,0.2,1.1,0.5,-0.075,4404.0,0.391,0.192,0.074,2.0,0.4,6.1,0.2,5.1,2814.0,0.346,0.061,1414.0,8.8,-0.195,0.1,2.3,0.192,0.9,,,,,,,,,4.2,,0.135,-0.02,,2012-10-01
